route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.733,UTA
4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,SAT.,0.6642,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7829,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SAT.,0.7395,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SUN.,0.797,UTA
7,007,7 - SPRING GARDEN,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6736,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7143,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SAT.,0.6653,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SUN.,0.7514,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7334,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SAT.,0.7249,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SUN.,0.7154,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6923,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SAT.,0.5711,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SUN.,0.6861,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6896,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SAT.,0.711,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SUN.,0.7494,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,WEEKDAY,0.697,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SAT.,0.7755,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SUN.,0.8018,UTA
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7724,UTA
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SAT.,0.717,UTA
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SUN.,0.7083,UTA
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7389,UTA
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SAT.,0.6981,UTA
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SUN.,0.7636,UTA
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6939,UTA
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SAT.,0.7258,UTA
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SUN.,0.665,UTA
18,018,18 - MANCHESTER,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7706,UTA
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7169,UTA
20,020,20 - KENNEDY,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7791,UTA
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,WEEKDAY,0.6962,UTA
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SAT.,0.7219,UTA
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SUN.,0.6998,UTA
22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7284,UTA
22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,SAT.,0.778,UTA
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,WEEKDAY,0.6878,UTA
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SAT.,0.7416,UTA
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SUN.,0.7101,UTA
26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7615,UTA
